main_genre,mean_budget,gm%_max,gm%_min,gm%_std,gross_margin
Horror/Mystery/Thriller,9780172.413793104,99.84,20.56,14.626448132590813,90.18275862068968
Adventure/Animation/Comedy,102768656.71641791,95.05,-1.03,18.04011408728407,72.57492537313436
Drama/Romance,25263448.275862068,97.22,-16.98,28.179494435675142,71.06068965517241
Action/Adventure/Sci-Fi,175530769.23076922,92.63,-81.79,26.995857170574478,71.00230769230768
Action/Adventure/Comedy,102071428.57142857,95.02,-15.36,27.54461349986859,70.28142857142856
Comedy/Romance,26813513.513513513,94.14,-81.06,31.451269392448964,68.8237837837838
Biography/Drama/History,25136363.636363637,97.37,-12.84,28.254477084608656,68.04909090909092
Comedy,34133333.333333336,95.72,-97.68,43.046219378563954,62.411428571428566
Action/Comedy/Crime,45730769.23076923,91.32,-57.51,36.2477315343266,61.49576923076923
Comedy/Drama/Romance,17701086.95652174,94.84,-131.59,48.09121230602116,60.91521739130435
